student_id,math,physics,english,history,geography,chemistry,biology,needs_help,availability
S1,63,98,88,75,65,70,62,"['chemistry', 'biology']","['Tuesday 10 AM - 12 PM', 'Monday 10 AM - 12 PM']"
S2,65,65,61,67,88,92,59,"['chemistry', 'math']","['Monday 2 PM - 4 PM', 'Tuesday 2 PM - 4 PM']"
S3,88,82,54,51,95,70,85,['english'],"['Monday 2 PM - 4 PM', 'Monday 10 AM - 12 PM']"
S4,57,65,75,75,50,52,61,['geography'],"['Tuesday 2 PM - 4 PM', 'Monday 2 PM - 4 PM']"
S5,79,61,100,81,82,86,50,['biology'],"['Tuesday 10 AM - 12 PM', 'Monday 10 AM - 12 PM']"
S6,97,68,71,80,79,56,56,['physics'],"['Wednesday 10 AM - 12 PM', 'Wednesday 2 PM - 4 PM']"
S7,88,95,72,89,54,96,100,"['physics', 'english']","['Wednesday 2 PM - 4 PM', 'Monday 2 PM - 4 PM']"
S8,78,61,76,92,69,94,84,"['math', 'biology']","['Monday 2 PM - 4 PM', 'Wednesday 2 PM - 4 PM']"
S9,62,61,50,89,53,83,70,"['chemistry', 'history']","['Monday 10 AM - 12 PM', 'Wednesday 10 AM - 12 PM']"
S10,51,60,86,69,70,93,70,"['chemistry', 'geography']","['Monday 10 AM - 12 PM', 'Wednesday 10 AM - 12 PM']"
S11,83,81,61,63,60,72,62,"['math', 'geography']","['Tuesday 10 AM - 12 PM', 'Tuesday 2 PM - 4 PM']"
S12,53,55,94,87,52,67,56,"['english', 'physics']","['Wednesday 2 PM - 4 PM', 'Tuesday 2 PM - 4 PM']"
S13,85,67,63,100,62,56,65,['physics'],"['Tuesday 2 PM - 4 PM', 'Tuesday 10 AM - 12 PM']"
S14,79,56,83,55,70,64,52,['physics'],"['Tuesday 2 PM - 4 PM', 'Wednesday 2 PM - 4 PM']"
S15,75,76,88,87,56,86,94,['physics'],"['Monday 10 AM - 12 PM', 'Monday 2 PM - 4 PM']"
S16,59,100,66,59,68,100,93,"['chemistry', 'physics']","['Wednesday 2 PM - 4 PM', 'Tuesday 10 AM - 12 PM']"
S17,57,83,85,83,67,85,55,"['english', 'chemistry']","['Wednesday 10 AM - 12 PM', 'Monday 2 PM - 4 PM']"
S18,54,65,82,85,87,97,69,"['geography', 'math']","['Tuesday 2 PM - 4 PM', 'Wednesday 2 PM - 4 PM']"
S19,53,62,96,84,79,52,84,['math'],"['Monday 2 PM - 4 PM', 'Wednesday 2 PM - 4 PM']"
S20,67,77,89,85,54,76,81,"['english', 'physics']","['Wednesday 10 AM - 12 PM', 'Wednesday 2 PM - 4 PM']"
S21,72,52,86,91,63,74,78,"['chemistry', 'history']","['Tuesday 2 PM - 4 PM', 'Tuesday 10 AM - 12 PM']"
S22,62,62,85,63,62,70,76,['chemistry'],"['Wednesday 2 PM - 4 PM', 'Monday 2 PM - 4 PM']"
S23,99,52,86,55,68,84,97,"['physics', 'history']","['Monday 2 PM - 4 PM', 'Wednesday 10 AM - 12 PM']"
S24,95,91,63,54,80,78,58,['math'],"['Tuesday 2 PM - 4 PM', 'Monday 10 AM - 12 PM']"
S25,60,77,69,57,57,54,56,"['history', 'physics']","['Tuesday 10 AM - 12 PM', 'Wednesday 10 AM - 12 PM']"
S26,63,64,50,58,61,64,54,['math'],"['Monday 10 AM - 12 PM', 'Wednesday 10 AM - 12 PM']"
S27,77,91,52,56,64,95,80,['geography'],"['Tuesday 10 AM - 12 PM', 'Monday 10 AM - 12 PM']"
S28,86,66,70,79,97,97,99,['english'],"['Monday 10 AM - 12 PM', 'Wednesday 10 AM - 12 PM']"
S29,54,92,66,98,81,72,98,"['biology', 'geography']","['Monday 10 AM - 12 PM', 'Tuesday 10 AM - 12 PM']"
S30,90,53,94,68,92,57,68,"['history', 'math']","['Wednesday 10 AM - 12 PM', 'Monday 10 AM - 12 PM']"
S31,81,55,82,74,63,89,92,"['physics', 'biology']","['Monday 10 AM - 12 PM', 'Monday 2 PM - 4 PM']"
S32,63,99,95,52,85,63,89,['chemistry'],"['Monday 10 AM - 12 PM', 'Tuesday 10 AM - 12 PM']"
S33,50,94,91,60,82,62,87,['geography'],"['Monday 10 AM - 12 PM', 'Tuesday 10 AM - 12 PM']"
S34,85,77,79,66,81,68,54,"['english', 'physics']","['Monday 10 AM - 12 PM', 'Wednesday 2 PM - 4 PM']"
S35,88,60,62,82,85,80,86,['physics'],"['Wednesday 10 AM - 12 PM', 'Tuesday 2 PM - 4 PM']"
S36,51,100,82,99,92,64,95,"['english', 'history']","['Monday 2 PM - 4 PM', 'Tuesday 10 AM - 12 PM']"
S37,88,88,77,64,79,79,93,['history'],"['Monday 10 AM - 12 PM', 'Wednesday 10 AM - 12 PM']"
S38,72,98,82,51,93,68,95,['history'],"['Monday 2 PM - 4 PM', 'Tuesday 2 PM - 4 PM']"
S39,60,56,75,63,51,79,63,"['math', 'biology']","['Monday 2 PM - 4 PM', 'Wednesday 10 AM - 12 PM']"
S40,74,71,73,85,77,89,92,['biology'],"['Monday 2 PM - 4 PM', 'Wednesday 2 PM - 4 PM']"
S41,91,56,93,52,82,69,68,"['math', 'biology']","['Tuesday 10 AM - 12 PM', 'Monday 10 AM - 12 PM']"
S42,56,59,80,92,76,78,69,"['math', 'history']","['Wednesday 10 AM - 12 PM', 'Monday 10 AM - 12 PM']"
S43,80,100,88,77,53,100,91,['geography'],"['Tuesday 2 PM - 4 PM', 'Monday 2 PM - 4 PM']"
S44,58,61,96,70,79,66,70,"['history', 'physics']","['Monday 2 PM - 4 PM', 'Tuesday 10 AM - 12 PM']"
S45,73,69,64,58,64,87,65,['geography'],"['Wednesday 2 PM - 4 PM', 'Tuesday 10 AM - 12 PM']"
S46,62,57,88,94,52,85,64,"['math', 'biology']","['Wednesday 10 AM - 12 PM', 'Tuesday 2 PM - 4 PM']"
S47,80,92,62,86,83,85,79,"['english', 'chemistry']","['Wednesday 10 AM - 12 PM', 'Tuesday 10 AM - 12 PM']"
S48,59,73,98,83,69,97,71,"['biology', 'history']","['Wednesday 2 PM - 4 PM', 'Wednesday 10 AM - 12 PM']"
S49,81,50,84,78,78,56,91,"['chemistry', 'english']","['Tuesday 2 PM - 4 PM', 'Wednesday 2 PM - 4 PM']"
S50,83,53,97,81,84,67,61,"['geography', 'biology']","['Monday 2 PM - 4 PM', 'Tuesday 10 AM - 12 PM']"
S51,99,69,100,77,53,68,84,['english'],"['Wednesday 10 AM - 12 PM', 'Tuesday 10 AM - 12 PM']"
S52,55,87,100,60,92,72,68,['chemistry'],"['Wednesday 2 PM - 4 PM', 'Tuesday 2 PM - 4 PM']"
S53,56,51,71,56,95,92,95,['geography'],"['Monday 10 AM - 12 PM', 'Wednesday 2 PM - 4 PM']"
S54,74,55,59,66,52,50,64,['history'],"['Monday 10 AM - 12 PM', 'Tuesday 2 PM - 4 PM']"
S55,56,64,64,72,95,73,91,"['math', 'history']","['Tuesday 2 PM - 4 PM', 'Tuesday 10 AM - 12 PM']"
S56,69,68,51,95,84,79,89,"['chemistry', 'math']","['Monday 10 AM - 12 PM', 'Tuesday 10 AM - 12 PM']"
S57,81,66,50,96,98,63,76,['geography'],"['Monday 2 PM - 4 PM', 'Wednesday 2 PM - 4 PM']"
S58,96,82,82,89,60,65,68,"['chemistry', 'geography']","['Monday 2 PM - 4 PM', 'Wednesday 2 PM - 4 PM']"
S59,76,100,56,81,55,61,100,"['chemistry', 'english']","['Monday 2 PM - 4 PM', 'Tuesday 2 PM - 4 PM']"
S60,73,70,98,99,80,76,59,['geography'],"['Wednesday 2 PM - 4 PM', 'Tuesday 2 PM - 4 PM']"
S61,63,68,71,65,88,89,86,['geography'],"['Monday 10 AM - 12 PM', 'Tuesday 2 PM - 4 PM']"
S62,71,78,79,53,95,60,62,['history'],"['Wednesday 10 AM - 12 PM', 'Monday 10 AM - 12 PM']"
S63,58,94,51,73,53,88,88,['english'],"['Wednesday 10 AM - 12 PM', 'Monday 10 AM - 12 PM']"
S64,71,57,66,100,52,52,94,"['history', 'geography']","['Tuesday 10 AM - 12 PM', 'Tuesday 2 PM - 4 PM']"
S65,95,85,69,56,77,71,67,['english'],"['Monday 10 AM - 12 PM', 'Monday 2 PM - 4 PM']"
S66,80,90,53,82,65,60,54,['math'],"['Tuesday 10 AM - 12 PM', 'Tuesday 2 PM - 4 PM']"
S67,72,74,69,79,97,53,57,['biology'],"['Monday 2 PM - 4 PM', 'Wednesday 2 PM - 4 PM']"
S68,82,81,84,94,92,52,58,"['chemistry', 'biology']","['Monday 2 PM - 4 PM', 'Wednesday 2 PM - 4 PM']"
S69,98,99,99,60,56,84,60,['math'],"['Monday 10 AM - 12 PM', 'Tuesday 10 AM - 12 PM']"
S70,77,85,54,75,72,55,67,['physics'],"['Tuesday 2 PM - 4 PM', 'Tuesday 10 AM - 12 PM']"
S71,99,59,90,57,55,61,71,['math'],"['Wednesday 10 AM - 12 PM', 'Wednesday 2 PM - 4 PM']"
S72,76,59,91,96,71,56,70,['biology'],"['Monday 10 AM - 12 PM', 'Tuesday 2 PM - 4 PM']"
S73,100,65,72,94,100,94,95,"['history', 'biology']","['Monday 10 AM - 12 PM', 'Wednesday 2 PM - 4 PM']"
S74,80,61,85,76,54,50,68,['geography'],"['Wednesday 10 AM - 12 PM', 'Wednesday 2 PM - 4 PM']"
S75,61,83,67,56,91,88,83,['chemistry'],"['Tuesday 10 AM - 12 PM', 'Monday 10 AM - 12 PM']"
S76,81,90,67,52,63,77,59,['geography'],"['Tuesday 10 AM - 12 PM', 'Monday 10 AM - 12 PM']"
S77,80,96,82,65,61,66,60,"['biology', 'english']","['Monday 10 AM - 12 PM', 'Monday 2 PM - 4 PM']"
S78,93,88,99,93,64,50,55,"['biology', 'history']","['Tuesday 10 AM - 12 PM', 'Monday 10 AM - 12 PM']"
S79,93,89,92,69,99,84,88,"['chemistry', 'physics']","['Tuesday 2 PM - 4 PM', 'Wednesday 10 AM - 12 PM']"
S80,58,58,69,98,54,85,92,"['english', 'physics']","['Tuesday 10 AM - 12 PM', 'Tuesday 2 PM - 4 PM']"
S81,96,100,79,93,52,69,94,['geography'],"['Tuesday 10 AM - 12 PM', 'Wednesday 10 AM - 12 PM']"
S82,96,96,81,62,90,74,65,['math'],"['Tuesday 10 AM - 12 PM', 'Monday 2 PM - 4 PM']"
S83,60,85,71,64,75,52,80,"['physics', 'history']","['Monday 10 AM - 12 PM', 'Monday 2 PM - 4 PM']"
S84,81,65,66,82,58,74,97,['history'],"['Monday 2 PM - 4 PM', 'Wednesday 2 PM - 4 PM']"
S85,54,59,99,58,75,70,97,['physics'],"['Tuesday 2 PM - 4 PM', 'Wednesday 2 PM - 4 PM']"
